WKT,naam,beschrijving
"POLYGON ((4.8764794 52.4087376, 4.8756211 52.4079522, 4.8785393 52.4064338, 4.8829167 52.4040251, 4.8862212 52.4025588, 4.8886673 52.4011449, 4.8902123 52.3990502, 4.8902123 52.3974005, 4.8931305 52.3975314, 4.8969071 52.3985788, 4.899997 52.4015115, 4.8955767 52.4035538, 4.8935168 52.4047582, 4.8929589 52.4060672, 4.8920147 52.4072715, 4.8882811 52.4090256, 4.8842041 52.4109104, 4.8816721 52.4115911, 4.8788826 52.4107272, 4.8764794 52.4087376))",Green Zone: Sustainability & Innovation,
"POLYGON ((4.908572 52.3933821, 4.8964699 52.3978339, 4.8908051 52.396996, 4.8903759 52.3939583, 4.8926933 52.3872012, 4.8969849 52.382434, 4.9015339 52.3826959, 4.9067696 52.3852629, 4.9070271 52.3872536, 4.9058254 52.3892965, 4.9064262 52.3910251, 4.908572 52.3933821))",White zone: Party of meeting
"POLYGON ((4.9238479 52.3743937, 4.914664 52.3762276, 4.9111449 52.3757298, 4.9039781 52.3776161, 4.9034631 52.3771446, 4.9034631 52.3761752, 4.9088704 52.3728479, 4.9168956 52.3698609, 4.9238479 52.3743937))",Red zone: Sail's Cultural Living Room
"POLYGON ((4.8957519 52.3795637, 4.9005584 52.3776251, 4.9039781 52.3776161, 4.9111449 52.3757298, 4.914664 52.3762276, 4.9238479 52.3743937, 4.9368648 52.3729092, 4.9393539 52.373538, 4.9355773 52.378673, 4.9278526 52.3847503, 4.9186687 52.3836502, 4.9132614 52.3836502, 4.9085407 52.3841217, 4.9027042 52.3817642, 4.8957519 52.3795637))",Orange Zone: The Nautical Heart of Sail
